Tweets,Output
"Rashtriya POSHAN Maah-2021 HBYC visits by ASHA worker Savitri, Sarita and Anu in ""C"" and ""D"" Block, New Ashok Nagar, East District https://t.co/8o64HeFN0P",0
"@mvvnllesatrans @MVVNLHQ @UPPCLLKO @mduppcl @UppclChairman 14/1003, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016 New power house sector 14 indira nagar",0
"@UPPCLLKO @MVVNLHQ hi, its been more than 7 hours thesre is no power supply in my area sector 16 indira nagar lucknow, new power house, i called customer care but thry cant update as their system is down since long...who can help",1
"RT @pfws1: @PfwsPresident Smt. Anu Asthana, accompanied by senior functionaries, visited Malviya Nagar police colony where she was welcomed…",0
RT @rajshekharTOI: Terror operative Osama from Jamia Nagar arrested by Delhi Police special cell. https://t.co/3FrtVn3WWa,0
"RT @pfws1: @PfwsPresident Smt. Anu Asthana, accompanied by senior functionaries, visited Malviya Nagar police colony where she was welcomed…",0
"RT @sioindia: @SioTamilnadu's Sports Wing, Track Force Sports Club inaugurated a playground for badminton, cricket practice field and physi…",0
"@mybmc @mybmcWardA @rahulnarwekar @CMOMaharashtra @cleanmumbai5 @MumbaiAimim @FaiyazAhmed1961
This area is Azad Nagar Colaba Market please I request bmc to take urgent action on our area can't able to walk properly. Cleaning also pls take action nobody comes to clean our area. https://t.co/kGAnPrBBRZ",1
"RT @sioindia: @SioTamilnadu's Sports Wing, Track Force Sports Club inaugurated a playground for badminton, cricket practice field and physi…",0
"@SioTamilnadu's Sports Wing, Track Force Sports Club inaugurated a playground for badminton, cricket practice field and physical workout in the Azad Nagar area of ​​Coimbatore. Read full report - https://t.co/5Andy9LTRK https://t.co/knB8EkD0en",0
The water supply in some areas will remain suspended from 9am on September 22 to 9am on September 23.  #Kolshet #Ghodbunder #Balkum #Thane,1
Movers and packers in Thane | Packers and movers in Thane | Packers and movers Thane | Movers and packers Thane,0
@OfficeofUT @mahapwdofficial @mieknathshinde @ImThanekar @ThaneCollector @Thanekars_ @ThaneCityPolice @ThaneTraffic @RoadsOfMumbai @nitin_gadkari @Bhiwandikarr @HopeBhiwandi  #Bhiwandi_roads MH SH 35  #Kasheli to Balkum. Pls do the road repairs.Aaple Sarkar Dept/PWOD/2021/16019 https://t.co/g9ZMs3cXlY,1
"@iRajuSingh_ R/Sir, As per report of Thane Division, It is requested to kindly visit Balkum PO for your respective transaction.",0
RT @kolshetforum: New Bus Service Schedule from Lodha Amara Kolshet Road to Thane Station. #Kolshet #Ghodbunder #Thane #Balkum #Dhokali #T…,0
@TMCaTweetAway Pls visit hawkers market at Balkum opp Gajanan Park and have a look of the condition. Is it all legal?,1
New Bus Service Schedule from Lodha Amara Kolshet Road to Thane Station. #Kolshet #Ghodbunder #Thane #Balkum #Dhokali #TMC #LodhaAmara https://t.co/GuPeBNYbWP,0
"@ThaneCityPolice Hopeless traffic congestion at Balkum. Please do something!! Are we only existing to pay all taxes in this country? Will we ever see proper roads w/o potholes, zero traffic congestion in our lifetime!! https://t.co/RK7IsCeszJ",1
@ThaneCityPolice .. heavy blockade at balkum naka none are here to manage traffic. https://t.co/2A8Hovc17B,1
@IndiaPostOffice Yesterday I visited on balkum branch same number BM called me on number and it's ringing .. Now let me know next process..  it's almost 1week on this issue ..,1
"@Kintu_Parantu @mulund_info @mybmcBridges @mihirkotecha @mybmcWardT @mybmc @MNCDFbombay @RoadsOfMumbai @mumbaimatterz @IqbalSinghChah2 @PotholeWarriors @sarikapawar5555 @SunilRaut65 @mybmcWardS This is like airport runway if you compare this with Majiwada, Balkum stretch . Ashamed. Wonder why i returned back from abroad",1
"@iRajuSingh_ Sir/Madam, SPM Balkum PO reported that,The mobile number given in form was activated on 06.09.2021. The customer couldn't be contacted asit was ringing as invalid https://t.co/NaJnvR0aVg was requested to reset his net banking account. This is for your kind information please",1
@Shashi2210 @ThaneCityPolice @TMCsmartcity Autowalas doesn't want to run small distances rather they want to stand in queue...its painful rather afraid to ask autowalas to take ride for small distance..below stand from swastik Park (Brahmand)Thane w..pl look into it https://t.co/NYQKafjcMK,1
"@samanta_om @ZainAli73791960 @zoo_bear Society isn’t same but God is same because it’s Anadi&amp;Anant it’s Sarvshaktiman, Sarwagya &amp;Rachiyta of Brahmand. Prithwi is just tiny part of it. So The only worthy of being worshiped is That One God..Not even Mata who as per Islam is most respectable. That’s why no Vande Mataram!",0
RT @yamini_sahuMP: Creator Of all the Brahmand is #SupremeGodKabir Atharvaved Kaand No. 4 Anuvaak No. 1 Mantra 2. https://t.co/BPLOoeZfxC,0
RT @yamini_sahuMP: Must Know #HiddenTruthOfGita Who Is the Master of twenty one thousand Brahmand ? https://t.co/mKTbdKXqTD,0
@JaswantHarsani Fake certificate ke hisab se Brahmand pass hai😂😂😂😂 Jambli Naka,0
@Hannlizzle aap twitter pe poore brahmand ka gyaan baat rhe ho or keh rhe ho what's the point of having phone,0
"@TruthPr53882958 @ItsmeRam27 @Pratham_611 @SHIVAanEVAN @_singhalka @VertigoWarrior @Vishnu_Jain1 @UdayMahurkar @Shawshanko And they were so good, that's why they broke our temples, vandalized and desecrated the idols. That is why a tonne of Janau was retrieved from a lake in Kashmir, of the murdered Brahmand there. Theft is better than Murder, I guess.",1
It is sad to know that Maharashtra state cooperatives commissioner recommended to state extension of date for holding housing society AGMs for a year ( Till March 2022). Serious financial irregularities &amp; violations of Bye laws are observed in THANE ( Brahmand).@CMOMaharashtra https://t.co/W0mCp5jbG2,1
RT @maheshsinkar: @TMCaTweetAway @ThaneCityPolice Since when TMC and RTO allowed to allot parking on city roads?  This is Brahmand.  Can we…,1
RT @SatlokChannel: Holy Devi Mahapurana provides evidence on: How was the creation of nature in one brahmand of Brahm-Kaal done? How did Br…,0
RT @Depshree: He is the only protector of this Brahmand. https://t.co/JokzfNDb07,0
"@thinker_karan @Saracasmatic @Saumya_miishra Lol! Brahma is different from Devas. Devas lived in Devaloka/Indraloka while Brahma was the creator of the Brahmand and is formless. So, you should stop talking when you know nothing",0
"RT @theupindex: 🔸Renovation of Brahmand Ghat, Vishram Ghat 🔸Beautification of Nand Baba Mandir 🔸Beautification of ancient Chandra Kund 🔸Con…",0
#Apartment in Brahmand Face 8 CHS #2BHK #Flat #ForSale #Bhrahmand #Thane #Residential #Property https://t.co/uq5l9JxCa5,0
because we don't want under developed academy players coming off the bench anymore... tereko aata kuch hai nahi gyaan jhaadta hai brahmand ka https://t.co/MZaUvm4iuV,0
RT @parmar_yaman: @HinduGatsu @gilgamesh_402 Chapter 30 : description of the mundane egg ( brahmand I.e. Universe) from book 3 named utpatt…,0
@HinduGatsu @gilgamesh_402 Chapter 30 : description of the mundane egg ( brahmand I.e. Universe) from book 3 named utpatti khanda (book of Creation) deals with whatever I have said above. It also says that our Solar system has 10 planets. https://t.co/4UScLIOKf2,0
RT @Depshree: He is the only protector of this Brahmand. https://t.co/JokzfNDb07,0
